Chinese,Pinyin,English
啊,a,auxiliary word
爱情,àiqíng,Love
爱人,ài rén,lover
安静,ānjìng,Be quiet
安全,ānquán,security
白色,bái sè,white
班长,bān zhǎng,monitor; squad leader
办,bàn,do
办法,bànfǎ,Way
办公室,bàngōngshì,Office
半夜,bàn yè,midnight
帮助,bāngzhù,Help
饱,bǎo,full
报名,bàomíng,sign up
报纸,bàozhǐ,Newspaper
北方,běifāng,north
背（动）,bēi,carry on the back; shoulder
比如,bǐrú,such as
比如说,bǐ rú shuō,for example
笔,bǐ,pen
笔记,bǐ jì,note; notes
笔记本,bǐjìběn,Notebook
必须,bìxū,Must
边,biān,side
变,biàn,change
变成,biàn chéng,become; change into
遍,biàn,Times
表,biǎo,watch
表示,biǎoshì,Express
不错,bú cuò,not bad; pretty good
不但,bú dàn,not only
不够,bú gòu,not enough
不过,búguò,However
不太,bú tài,not too; not very much
不要,bú yào,don’t
不好意思,bù hǎo yì sī,sorry; feel embarrassed
不久,bù jiǔ,soon
不满,bù mǎn,dissatisfied
不如,bùrú,not as good as
不少,bù shǎo,not a few; a lot
不同,bù tóng,different
不行,bù xíng,no way; be out of the question
不一定,bù yī dìng,not necessarily; uncertain
不一会儿,bù yī huìr,in a moment; in a little while; soon
部分,bùfen,Part
才（副）,cái,only; just
菜单,càidān,menu
参观,cānguān,visit
参加,cānjiā,participate in
草,cǎo,grass
草地,cǎo dì,grass; lawn
层,céng,layer
查,chá,search; check
差不多,chàbuduō,Almost
长,cháng,long
常见,cháng jiàn,common
常用,cháng yòng,in common use
场,chǎng,site
超过,chāoguò,Exceed
超市,chāoshì,Supermarket
车辆,chē liàng,car; vehicle
称¹（动）,chēng,call; say
成（动）,chéng,become; finish
成绩,chéngjì,achievement
成为,chéngwéi,Become
重复,chóngfù,repeat
重新,chóngxīn,again
出发,chūfā,Set out
出国,chū guó,go abroad
出口（名）,chū kǒu,export
出门,chū mén,go out
出生,chūshēng,Birth
出现,chūxiàn,Appear
出院,chū yuàn,discharged; leave hospital
出租,chū zū,rent
出租车,chūzūchē,Taxi
船,chuán,ship
吹,chuī,blow
春节,chūn jié,Spring Festival; Chinese New Year
春天,chūn tiān,spring
词,cí,word
词典,cídiǎn,Dictionary
词语,cíyǔ,terms
从小,cóng xiǎo,from childhood
答应,dāying,promise
打工,dǎgōng,Work
打算,dǎsuàn,Plan
打印,dǎyìn,Print
大部分,dà bù fèn,most
大大,dà dà,greatly; enormously
大多数,dà duō shù,most; great majority
大海,dà hǎi,sea
大家,dàjiā,everybody
大量,dà liàng,a lot of; lots of
大门,dà mén,door; gate
大人,dà rén,adult
大声,dà shēng,loud
大小,dà xiǎo,size
大衣,dà yī,overcoat
大自然,dà zì rán,nature
带,dài,belt
带来,dài lái,bring
单位,dānwèi,Company
但,dàn,but; however
但是,dàn shì,but; however
蛋,dàn,egg
当,dāng,When
当时,dāngshí,at that time
倒,dǎo,"fall, topple, fail"
到处,dàochù,everywhere
倒,dào,inverted
道,dào,road; way; path
道理,dàolǐ,truth
道路,dào lù,road; way; path
得,dé,get
得出,dé chū,obtain results; reach conclusion
的话,de huà,if
得,de,auxiliary verb
灯,dēng,lamp
等（助、名）,děng,etc.; and so on
等到,děng dào,wait until; by the time
等于,děngyú,Be equal to
低,dī,low
地球,dìqiú,earth
地铁,dìtiě,metro
地铁站,dì tiě zhàn,subway station
点头,diǎn tóu,nod
店,diàn,shop; store
掉,diào,fall
东北,dōng běi,northeast
东方,dōng fāng,east
东南,dōng nán,southeast
冬天,dōng tiān,winter
懂,dǒng,understand
懂得,dǒng de,know; understand; comprehend
动物,dòngwù,Animal
动物园,dòng wù yuán,zoo
读音,dú yīn,pronunciation
度,dù,degree; limit
短,duǎn,short
短信,duǎnxìn,message
段,duàn,paragraph
队,duì,team
队长,duì zhǎng,team leader; captain
对（介、动）,duì,to; at; face; be opposite; answer
对话,duìhuà,dialogue
对面,duìmiàn,Opposite side
多（副）,duō,much more; far more
多久,duō jiǔ,how long
多么,duōme,what
多数,duō shù,most; majority
多云,duō yún,cloudy
而且,ér qiě,and
发,fā,send out
发现,fāxiàn,find
饭馆,fàn guǎn,restaurant
方便,fāngbiàn,convenient
方便面,fāng biàn miàn,Instant noodles
方法,fāngfǎ,Method
方面,fāngmiàn,Aspect
方向,fāngxiàng,direction
放下,fàng xià,put down; lay down; drop
放心,fàngxīn,Don’t worry
分（动）,fēn,divide; part; distribute
分开,fēn kāi,separate; part
分数,fēn shù,score; mark; fraction
分钟,fēnzhōng,Minute
份,fèn,share
封（量）,fēng,(measure word)
服务,fú wù,service
复习,fùxí,Review
该（动）,gāi,deserve; should; owe
改,gǎi,change; correct; revise; switch over
改变,gǎibiàn,change
干杯,gānbēi,Cheers!
感到,gǎn dào,feel; sense
感动,gǎndòng,Be moved
感觉,gǎnjué,feel
感谢,gǎnxiè,Thank
干活儿,gànhuór,work on a job
刚,gāng,just
刚才,gāngcái,just
刚刚,gāng gāng,just; only; just a moment ago
高级,gāojí,senior
高中,gāo zhōng,senior high school
个子,gèzi,Height
更,gèng,more
公共汽车,gōnggòngqìchē,Bus
公交车,gōng jiāo chē,bus
公斤,gōngjīn,Kg.
公里,gōnglǐ,kilometre
公路,gōng lù,highway; highroad
公平,gōngpíng,fair
公司,gōngsī,company
公园,gōngyuán,Park
狗,gǒu,Dog
够,gòu,enough
故事,gùshi,Story
故意,gùyì,deliberately
顾客,gùkè,customer
关机,guān jī,shutdown
关心,guānxīn,Care for
观点,guāndiǎn,viewpoint
广场,guǎngchǎng,square
广告,guǎnggào,Advertisement
国际,guójì,international
过来,guò lái,come; come over
过年,guò nián,celebrate the New Year
过去（动）,guò qù,go over; pass by
过,guò,cross; pass; spend; live
海,hǎi,sea
海边,hǎi biān,seaside
喊,hǎn,shout
好（副）,hǎo,well; fine; okay
好处,hǎochu,benefit
好多,hǎo duō,many; a lot of
好久,hǎo jiǔ,for a long time; long
好人,hǎo rén,good person
好事,hǎo shì,good deed; good thing
好像,hǎoxiàng,Be like
合适,héshì,appropriate
河,hé,river
黑,hēi,black
黑板,hēibǎn,blackboard
黑色,hēi sè,black
红,hóng,red
红色,hóng sè,red
后来,hòulái,later
忽然,hūrán,suddenly
湖,hú,lake
护照,hùzhào,passport
花（动）,huā,spend; expend
花园,huā yuán,garden
画,huà,painting
画家,huà jiā,painter; artist
画儿,huàr,painting; drawing
坏处,huài chù,disadvantage; harm
坏人,huài rén,bad person
欢迎,huānyíng,Welcome
换,huàn,change
黄,huáng,yellow
黄色,huáng sè,yellow
回（量）,huí,(measure word)
回国,huí guó,return home from abroad
会（名）,huì,meeting; gathering; conference; union; party
活动,huódòng,activity
或,huò,or
或者,huòzhě,perhaps
机会,jīhuì,Opportunity
鸡,jī,chicken
级,jí,level; rank; grade; degree; step
急,jí,fast; anxious; urgent; annoyed
计划,jìhuà,plan
计算机,jì suàn jī,computer
加,jiā,add; increase; put in
加油,jiā yóu,oil; refuel; make an all-out effort
家（科学家）,jiā,noun suffix (scientist)
家庭,jiātíng,Family
家长,jiā zhǎng,parent; the head of the family
